transaction_id,account_id,transaction_date,amount,transaction_type,location,device_id
46,85,2024-02-20 23:08:37,26727.77,Withdrawal,Manchester,12
47,58,2024-09-04 04:45:55,73797.08,ATM Withdrawal,Dubai,51
48,102,2024-06-01 23:28:14,79621.58,Deposit,Hyderabad,16
49,81,2025-04-27 12:56:04,580957.75,Deposit,Singapore,21
50,26,2024-06-18 16:21:43,49402.25,Purchase,Singapore,44
51,52,2024-05-25 18:18:30,26631.27,Transfer,Singapore,17
52,32,2024-05-16 20:39:51,5190.98,Deposit,Singapore,21
53,104,2024-11-11 08:05:37,15010.51,Bill Payment,Singapore,50
54,96,2024-06-22 19:48:23,56168.64,Transfer,Dubai,53
55,57,2024-04-20 08:09:32,51692.17,Purchase,Manchester,18
56,103,2024-11-08 00:56:37,8545.83,Bill Payment,Berlin,39
57,91,2025-03-08 13:27:35,40737.21,Bill Payment,Abu Dhabi,23
58,71,2024-09-14 21:47:19,70535.72,Transfer,Berlin,13
59,59,2024-01-11 12:10:52,38754.51,Withdrawal,London,28
60,24,2024-04-20 11:24:02,55605.06,Withdrawal,Berlin,15
61,17,2024-04-29 22:11:03,24947.07,Deposit,London,58
62,50,2024-11-01 00:46:21,63215.57,Purchase,Berlin,27
63,61,2024-05-02 15:43:05,16559.27,Purchase,Munich,6
64,130,2024-09-29 16:32:03,48758.11,Bill Payment,London,8
65,37,2024-08-29 17:08:18,80274.58,Withdrawal,Dallas,59
66,60,2024-05-02 21:24:53,531109.02,Withdrawal,Hyderabad,5
67,112,2024-09-08 22:08:13,7837.23,Bill Payment,Munich,52
68,9,2024-01-09 18:17:53,51982.37,Deposit,Chicago,2
69,28,2024-08-25 03:41:35,75585.85,Deposit,Hyderabad,19
70,43,2024-04-22 11:48:55,451151.52,Deposit,Berlin,45
71,109,2025-01-07 18:18:37,52020.91,ATM Withdrawal,Dubai,53
72,102,2024-12-29 08:13:44,4326.28,Transfer,Delhi,40
73,49,2024-10-26 01:53:45,59041.25,Purchase,Manchester,33
74,4,2024-03-05 22:24:32,11114.38,Transfer,Berlin,57
75,26,2024-08-31 06:04:56,19417.64,Withdrawal,Hyderabad,5
76,108,2024-05-02 17:24:09,34389.21,ATM Withdrawal,London,49
77,44,2024-01-23 18:41:03,15894.6,Transfer,Berlin,24
78,78,2024-09-06 14:38:36,55360.45,ATM Withdrawal,Berlin,57
79,28,2024-04-17 02:12:15,61894.87,Deposit,Hyderabad,55
80,60,2024-05-31 06:10:29,82132.18,Purchase,London,26
81,124,2024-08-26 02:47:06,57944.12,Transfer,Singapore,56
82,66,2024-11-01 14:05:53,47313.33,ATM Withdrawal,Dubai,11
83,117,2024-07-21 23:23:26,76769.88,Bill Payment,Abu Dhabi,54
84,27,2025-03-06 13:25:33,80890.36,Transfer,Dubai,11
85,120,2024-07-13 16:48:48,59421.45,Bill Payment,Berlin,32
86,28,2024-05-25 02:31:51,65044.34,Bill Payment,Abu Dhabi,30
87,44,2024-02-22 01:18:48,69825.11,Transfer,New York,38
88,69,2024-01-05 03:33:12,69758.75,Deposit,Berlin,27
89,16,2024-12-23 00:34:02,744458.69,Purchase,Berlin,15
90,76,2025-04-09 05:24:55,30488.56,Withdrawal,Chicago,48
91,57,2024-11-22 08:40:31,30090.22,Bill Payment,Munich,6
92,39,2024-11-01 10:45:34,77873.58,Purchase,Singapore,42
93,45,2024-03-28 00:43:16,74200.18,Purchase,London,8
94,89,2025-04-28 19:21:55,5016.62,Transfer,Hyderabad,19
95,75,2024-06-10 05:30:30,75496.62,Transfer,Manchester,29
96,43,2024-11-12 10:27:29,22067.4,Purchase,Hyderabad,19
97,129,2024-07-10 04:18:37,74599.05,Transfer,Manchester,12
98,77,2024-07-05 23:01:45,45398.66,Transfer,London,49
99,23,2024-08-06 01:07:24,49467.85,Withdrawal,Berlin,27
100,88,2025-03-07 18:33:35,64229.58,Purchase,Munich,37
101,2,2024-10-01 05:05:53,33797.21,Bill Payment,Berlin,13
102,27,2024-07-02 12:04:07,22348.44,Transfer,Bangalore,43
103,16,2024-04-03 13:08:28,84920.45,Purchase,Hyderabad,19
104,129,2024-05-25 02:08:08,2058.5,Transfer,Berlin,15
105,96,2024-09-17 14:13:48,73480.91,ATM Withdrawal,London,8
106,100,2024-01-10 05:28:54,26778.56,Bill Payment,Munich,6
107,96,2024-10-15 07:35:15,15012.55,Deposit,New York,38
108,44,2025-02-12 10:09:35,22341.51,Transfer,Singapore,3
109,60,2024-12-25 09:25:47,347042.54,Deposit,Singapore,1
110,23,2024-03-07 16:45:44,25034.43,Purchase,Berlin,32
111,89,2024-09-06 16:47:45,53930.17,Bill Payment,Dubai,25
112,90,2025-03-20 10:14:45,45565.12,ATM Withdrawal,Abu Dhabi,54
113,82,2024-03-19 23:02:50,22052.9,Transfer,Chennai,46
114,102,2024-05-16 11:34:56,49563.02,Bill Payment,Hyderabad,55
115,3,2024-06-21 09:03:26,18264.18,Purchase,Bangalore,43
116,42,2024-12-01 08:44:05,66661.24,Bill Payment,Singapore,3
117,118,2024-01-13 14:02:20,32668.47,Bill Payment,Berlin,27
118,123,2024-12-03 07:55:34,70530.11,Withdrawal,Mumbai,10
119,121,2025-01-16 08:04:56,16351.02,Deposit,Abu Dhabi,54
120,111,2024-03-27 05:42:38,57605.3,Transfer,Singapore,17
121,93,2024-08-15 06:57:09,44182.89,ATM Withdrawal,London,49
122,112,2024-02-16 02:44:18,50237.75,Purchase,Singapore,41
123,103,2024-06-11 16:22:17,29867.16,ATM Withdrawal,Berlin,15
124,9,2025-01-14 15:44:10,18901.28,Withdrawal,Dubai,25
125,85,2024-06-02 06:45:55,80925.37,Transfer,Berlin,15
126,33,2024-11-19 02:49:50,64148.63,Withdrawal,Abu Dhabi,23
127,32,2024-09-27 09:52:41,42597.06,Withdrawal,Singapore,1
128,81,2024-07-10 06:38:45,68562.46,Deposit,Berlin,27
129,74,2024-08-11 09:46:18,43830.27,Deposit,Chicago,48
130,60,2024-03-29 01:57:43,62775.43,Transfer,Berlin,24
131,106,2024-02-02 00:22:32,65824.42,Deposit,Dubai,11
132,40,2024-12-08 11:44:42,79510.35,ATM Withdrawal,Berlin,15
133,43,2024-02-14 10:21:44,18528.57,Purchase,Berlin,32
134,84,2024-09-06 20:23:28,18133.59,Bill Payment,Dubai,51
135,11,2024-07-07 20:35:08,80199.71,Deposit,Chicago,2
136,23,2025-02-10 20:11:26,21886.0,Purchase,Berlin,60
137,104,2024-07-03 16:00:10,53019.13,Bill Payment,Abu Dhabi,30
138,29,2024-08-13 09:19:22,62085.68,ATM Withdrawal,Manchester,9
139,121,2024-10-20 02:12:03,78287.42,Bill Payment,London,58
140,12,2024-06-26 15:44:02,55209.71,ATM Withdrawal,New York,38
141,15,2025-01-20 19:02:10,80478.05,Transfer,London,26
142,74,2025-03-21 02:00:18,11010.89,ATM Withdrawal,Berlin,32
143,92,2024-04-08 17:49:10,30232.5,Purchase,Manchester,18
144,88,2025-01-20 05:11:13,3854.55,Deposit,Manchester,33
145,37,2025-03-26 20:14:35,35385.31,Deposit,New York,34
146,88,2025-01-19 21:56:32,42900.5,Deposit,London,26
147,85,2024-03-14 14:53:12,75804.1,Bill Payment,Dubai,11
148,54,2024-09-09 01:24:09,20689.45,Bill Payment,Berlin,32
149,25,2024-04-12 10:37:07,1214.9,Transfer,Singapore,3
150,10,2024-05-17 01:37:52,18064.47,Withdrawal,London,49
151,91,2024-05-17 09:10:17,22236.6,Withdrawal,Manchester,18
152,72,2024-05-20 03:34:34,49086.52,Purchase,Manchester,12
153,55,2025-01-08 19:25:24,33119.62,Purchase,London,58
154,65,2025-04-12 11:46:16,44171.42,Withdrawal,San Francisco,31
155,17,2024-01-28 17:19:53,81929.69,Transfer,Berlin,45
156,37,2024-06-05 05:26:50,533122.76,Transfer,Manchester,12
157,102,2024-05-19 18:40:09,73504.38,Deposit,Manchester,7
158,108,2025-03-08 22:29:18,70594.84,Withdrawal,Singapore,44
159,55,2024-05-12 09:18:02,9798.24,Purchase,Abu Dhabi,47
160,130,2024-08-31 08:00:50,72493.48,Deposit,Berlin,57
161,88,2024-01-30 07:04:26,663.27,Purchase,Manchester,18
162,82,2024-03-22 15:13:13,74167.85,Withdrawal,Dubai,51
163,86,2024-05-29 16:57:05,27368.17,Deposit,Berlin,20
164,64,2024-12-14 08:09:41,7552.17,Withdrawal,Chicago,48
165,99,2024-10-27 13:51:36,80388.16,Purchase,Manchester,18
166,103,2024-08-26 01:11:39,73701.25,Withdrawal,Singapore,21
167,98,2024-12-29 11:39:00,72585.19,Withdrawal,Berlin,15
168,103,2024-08-08 14:56:21,46899.23,Purchase,Berlin,13
169,77,2024-02-09 01:54:11,26339.01,Withdrawal,Hyderabad,16
170,28,2024-09-28 12:15:39,32578.41,ATM Withdrawal,Dubai,14
171,59,2024-02-26 08:40:57,40795.6,Purchase,Chennai,46
172,111,2024-08-06 09:00:41,40010.64,Purchase,Manchester,9
173,81,2024-01-01 12:16:25,66500.27,Transfer,Berlin,57
174,60,2024-06-17 15:08:03,24853.62,Purchase,Singapore,36
175,73,2024-08-10 13:38:17,5808.26,Transfer,Singapore,44
176,73,2025-01-26 09:34:52,84352.44,Bill Payment,Hyderabad,19
177,96,2024-09-10 23:13:18,78846.98,Purchase,Dubai,51
178,48,2025-03-15 09:30:43,121083.97,Deposit,Abu Dhabi,23
179,126,2024-01-07 20:21:05,49894.74,Transfer,Delhi,40
180,93,2024-02-24 14:07:59,65335.01,ATM Withdrawal,Munich,37
181,67,2025-03-13 13:15:22,52044.77,Deposit,Hyderabad,5
182,77,2024-01-16 19:19:16,76411.05,Bill Payment,Chicago,2
183,85,2024-02-24 14:26:36,65009.59,Deposit,Manchester,33
184,118,2024-06-29 07:15:27,33285.2,Withdrawal,Dubai,51
185,15,2024-01-06 13:45:50,61262.82,Bill Payment,Hyderabad,19
186,20,2025-04-17 13:14:52,50265.17,Withdrawal,San Francisco,4
187,128,2025-04-26 00:52:40,1194.83,Withdrawal,London,49
188,96,2024-04-10 05:45:44,61926.66,Purchase,Berlin,32
189,18,2024-01-31 11:42:36,631967.98,Deposit,Manchester,12
190,99,2024-12-28 22:45:13,73437.3,ATM Withdrawal,Abu Dhabi,54
191,14,2024-01-05 00:12:19,65535.77,Deposit,Manchester,9
192,128,2024-05-15 22:53:19,79471.78,ATM Withdrawal,Dubai,51
193,18,2024-08-07 15:06:11,30404.85,Bill Payment,Munich,52
194,20,2024-03-07 15:10:25,45517.8,Purchase,Manchester,33
195,87,2024-11-17 05:33:02,417487.24,Transfer,Singapore,3
196,9,2025-01-21 01:00:50,59309.15,Withdrawal,Berlin,32
197,4,2025-01-03 15:23:00,51385.07,Purchase,Manchester,18
198,101,2024-04-02 11:53:23,24529.66,ATM Withdrawal,Berlin,20
199,36,2024-07-12 11:16:23,28254.11,ATM Withdrawal,Berlin,20
200,59,2024-03-31 08:01:31,3311.18,Transfer,London,26
201,85,2024-09-07 20:45:25,77773.05,Bill Payment,Munich,37
202,112,2024-11-15 13:08:45,60287.81,Deposit,Berlin,20
203,94,2024-09-04 09:47:33,73272.12,ATM Withdrawal,London,49
204,17,2024-06-19 23:03:33,23003.95,Bill Payment,Berlin,32
205,121,2024-10-19 07:46:41,57564.61,Purchase,Abu Dhabi,54
206,77,2024-04-03 12:42:36,38321.83,Deposit,Singapore,44
207,41,2025-04-17 15:31:51,70299.1,Bill Payment,Singapore,3
208,64,2024-10-02 18:45:48,17031.46,Purchase,Singapore,36
209,79,2024-08-15 05:58:29,1839.16,Deposit,Berlin,20
210,87,2024-10-26 23:45:37,66425.68,Purchase,Munich,52
211,67,2024-02-17 17:35:40,53538.63,Transfer,Manchester,18
212,124,2025-04-12 16:07:47,71086.92,Bill Payment,Chennai,46
213,106,2024-06-10 12:34:06,3427.06,Deposit,Dallas,22
214,52,2024-12-30 11:46:55,55050.58,Transfer,Berlin,39
215,26,2024-01-27 17:53:45,72148.96,Deposit,Hyderabad,16
216,95,2024-12-12 17:48:18,8174.8,Purchase,London,28
217,96,2024-07-30 20:27:52,34296.74,ATM Withdrawal,Singapore,42
218,62,2025-01-08 01:43:34,11101.21,ATM Withdrawal,Singapore,41
219,100,2024-01-20 10:13:58,72783.35,Withdrawal,Abu Dhabi,30
220,55,2024-05-12 14:26:51,28967.37,Transfer,Abu Dhabi,23
221,60,2024-10-01 05:27:32,39529.91,Deposit,New York,38
222,19,2024-01-11 06:11:22,19247.81,Purchase,Manchester,29
223,85,2024-07-30 07:54:40,41311.48,ATM Withdrawal,Singapore,42
224,104,2024-02-13 02:45:34,31773.57,Transfer,Singapore,3
225,130,2025-03-15 03:28:01,16725.55,Purchase,Singapore,21
226,12,2025-04-11 05:47:27,31662.52,ATM Withdrawal,Singapore,3
227,60,2024-07-20 22:21:35,39603.67,Bill Payment,Manchester,29
228,99,2024-03-12 04:24:03,56543.15,Purchase,Berlin,27
229,25,2024-05-26 01:46:59,26699.22,Transfer,Singapore,3
230,54,2025-01-08 02:56:39,26848.59,ATM Withdrawal,Munich,52
231,8,2024-08-27 00:02:11,38447.91,Purchase,Munich,52
232,92,2025-02-20 10:10:35,9970.87,ATM Withdrawal,Mumbai,10
233,23,2025-01-01 02:21:07,122006.69,Transfer,Munich,6
234,85,2025-01-18 16:24:23,874.47,Transfer,London,49
235,52,2024-09-19 23:01:14,19844.22,Withdrawal,Manchester,12
236,71,2024-08-21 22:37:02,15261.26,Bill Payment,Singapore,3
237,88,2024-12-13 00:17:04,48449.46,ATM Withdrawal,Chennai,46
238,73,2024-02-29 17:08:37,33652.98,Deposit,Singapore,56
239,45,2024-02-18 08:07:41,648.97,Withdrawal,Chicago,48
240,103,2024-05-30 05:27:26,71551.83,ATM Withdrawal,Singapore,44
241,19,2025-03-10 10:28:56,72641.87,Purchase,Abu Dhabi,35
242,65,2025-04-22 16:04:33,38916.76,Withdrawal,London,28
243,102,2024-05-19 22:52:49,83130.35,Deposit,Berlin,45
244,130,2024-06-08 01:49:19,58617.38,Withdrawal,Manchester,29
245,104,2025-01-11 10:37:01,5150.14,Withdrawal,Berlin,13
246,4,2024-06-05 18:23:18,33238.05,Bill Payment,Berlin,60
247,109,2024-11-05 19:50:34,25508.49,Transfer,Hyderabad,16
248,72,2025-01-15 06:19:17,5894.77,Deposit,Manchester,33
249,33,2025-01-14 05:11:23,17728.39,Purchase,Berlin,20
250,38,2025-01-01 19:56:14,18085.86,Purchase,Dallas,22
251,112,2024-01-23 19:55:13,46241.16,ATM Withdrawal,Abu Dhabi,47
252,22,2025-04-11 13:24:56,54391.69,Deposit,Dubai,14
253,91,2024-03-14 09:01:21,26308.91,Bill Payment,Berlin,45
254,55,2024-01-30 12:31:11,13286.57,Bill Payment,Munich,52
255,6,2024-05-01 20:02:43,62811.19,Transfer,Hyderabad,55
256,82,2024-08-18 18:39:43,1363.94,Bill Payment,Singapore,42
257,91,2024-12-26 08:47:24,74950.97,Withdrawal,Dallas,59
258,31,2025-01-14 23:08:15,28160.22,Bill Payment,Berlin,57
259,32,2025-03-17 19:08:47,54836.41,Bill Payment,Abu Dhabi,30
260,1,2024-05-22 10:58:13,47470.77,Bill Payment,London,49
261,66,2025-03-29 20:01:28,82509.55,Transfer,Singapore,21
262,55,2024-01-23 14:21:40,9418.03,Purchase,Abu Dhabi,23
263,40,2025-04-21 19:00:06,64032.8,ATM Withdrawal,Dallas,22
264,38,2024-05-20 06:40:11,81300.94,Purchase,Munich,52
265,74,2025-04-03 02:33:58,70990.3,Purchase,Chicago,48
266,98,2024-05-27 20:46:23,44172.62,Deposit,San Francisco,31
267,110,2024-07-28 14:22:35,76887.38,Deposit,Berlin,20
268,48,2025-02-20 18:23:51,58811.9,ATM Withdrawal,Abu Dhabi,35
269,13,2024-07-06 23:55:52,51629.02,Deposit,Chennai,46
270,41,2025-03-03 03:02:10,68133.39,Transfer,Dubai,25
271,129,2025-03-12 10:14:44,699495.22,Withdrawal,Manchester,9
272,44,2024-09-20 18:42:34,68359.14,Deposit,Berlin,24
273,123,2025-04-06 09:35:58,80888.35,Purchase,Singapore,50
274,25,2024-05-04 15:40:26,82894.33,Transfer,Hyderabad,16
275,5,2024-05-05 04:24:47,68153.15,Bill Payment,Singapore,50
276,51,2025-02-09 09:13:50,351506.13,Deposit,Abu Dhabi,47
277,60,2024-07-12 16:58:12,80921.29,Deposit,Abu Dhabi,54
278,98,2025-01-02 13:52:07,15689.86,Bill Payment,Berlin,60
279,70,2024-01-23 10:39:13,56600.01,Purchase,Singapore,44
280,129,2024-01-25 20:26:31,64532.16,ATM Withdrawal,Mumbai,10
281,103,2024-05-06 17:16:55,19214.96,Transfer,Bangalore,43
282,85,2024-04-18 18:48:06,80131.65,Transfer,Hyderabad,19
283,83,2024-03-02 00:57:10,61037.88,Purchase,Singapore,44
284,44,2024-09-06 15:15:04,131737.64,Transfer,Singapore,50
285,78,2024-02-05 17:00:40,5056.2,Purchase,Munich,52
286,13,2024-04-10 05:27:05,34256.19,Purchase,Singapore,36
287,82,2024-05-14 04:17:20,60376.8,Withdrawal,Dubai,53
288,79,2024-10-28 19:02:34,41587.14,Deposit,Abu Dhabi,35
289,127,2025-02-23 20:18:06,17086.37,ATM Withdrawal,Berlin,60
290,111,2025-01-03 18:45:06,76064.0,Withdrawal,Manchester,9
291,32,2025-04-18 09:40:43,60778.05,Withdrawal,New York,34
292,11,2024-10-24 11:04:43,65940.57,Purchase,Abu Dhabi,35
293,24,2024-03-23 09:13:11,22688.32,Transfer,Hyderabad,19
294,43,2024-05-10 19:18:24,23789.2,Deposit,Manchester,33
295,26,2024-08-06 20:06:09,10322.98,Withdrawal,Chicago,2
296,36,2024-07-09 07:14:02,5743.17,Transfer,New York,34
297,79,2025-01-10 18:23:21,19503.48,Withdrawal,Munich,52
298,36,2024-10-24 01:31:52,41880.03,Bill Payment,Hyderabad,19
299,106,2024-09-25 21:39:44,9230.56,ATM Withdrawal,Manchester,12
300,90,2025-02-25 03:40:31,303480.74,Bill Payment,Hyderabad,19
301,45,2024-07-11 12:21:07,59742.0,Deposit,Berlin,45
302,41,2024-06-22 01:20:43,28813.94,Withdrawal,New York,34
303,50,2024-06-23 05:22:38,19257.33,Deposit,Hyderabad,55
304,35,2024-01-15 23:45:13,34948.26,Bill Payment,Singapore,1
305,34,2024-05-31 15:36:09,29498.48,Deposit,London,58
306,111,2025-03-06 17:18:35,41997.29,Deposit,Singapore,17
307,37,2024-12-07 04:29:42,46581.31,Bill Payment,Delhi,40
308,116,2024-03-21 23:38:49,56571.41,Bill Payment,Singapore,21
309,28,2024-07-21 14:23:00,5603.57,Withdrawal,Hyderabad,16
310,57,2025-04-18 11:22:14,79594.54,Deposit,Berlin,57
311,95,2024-01-13 15:08:22,67481.09,Bill Payment,Singapore,1
312,85,2024-11-16 20:06:31,38957.5,Withdrawal,Singapore,1
313,30,2024-05-27 00:39:23,9400.75,Deposit,Berlin,39
314,119,2025-01-29 01:01:50,26746.39,Withdrawal,Chennai,46
